index	id	test_stat	P-value	time
59	csite_58	0.4743	4.91010e-01	0.28
60	csite_59	11.8700	5.70459e-04	0.44
61	csite_60	0.4103	5.21818e-01	0.37
62	csite_61	0.8953	3.44041e-01	0.52
63	csite_62	12.6645	3.72665e-04	0.48
64	csite_63	8.4396	3.67140e-03	0.36
65	csite_64	0.5891	4.42786e-01	0.30
66	csite_65	2.0305	1.54167e-01	0.35
67	csite_66	0.7752	3.78616e-01	0.44
68	csite_67	5.2519	2.19225e-02	0.35
69	csite_68	6.0943	1.35622e-02	0.31
70	csite_69	0.0017	9.66938e-01	0.33
71	csite_70	1.3622	2.43155e-01	0.37
72	csite_71	0.8180	3.65776e-01	0.41
73	csite_72	3.0045	8.30335e-02	0.27
74	csite_73	0.0028	9.58033e-01	0.38
75	csite_74	11.0479	8.87885e-04	0.36
76	csite_75	8.4970	3.55735e-03	0.24
77	csite_76	0.1775	6.73531e-01	0.28
78	csite_77	10.4970	1.19567e-03	0.30
79	csite_78	4.4191	3.55391e-02	0.35
80	csite_79	0.0276	8.68046e-01	0.56
81	csite_80	0.0001	9.91775e-01	0.38
82	csite_81	3.4429	6.35257e-02	0.39
83	csite_82	1.1609	2.81286e-01	0.28
84	csite_83	2.7051	1.00025e-01	0.40
85	csite_84	3.9737	4.62160e-02	0.27
86	csite_85	1.1919	2.74943e-01	0.71
87	csite_86	14.9739	1.09006e-04	0.32
88	csite_87	5.9280	1.49018e-02	0.36
89	csite_88	2.4127	1.20351e-01	0.53
90	csite_89	3.6258	5.68911e-02	0.28
91	csite_90	4.6371	3.12871e-02	0.28
92	csite_91	0.1797	6.71632e-01	0.33
93	csite_92	3.5027	6.12703e-02	0.31
94	csite_93	4.7827	2.87462e-02	0.30
95	csite_94	6.2202	1.26299e-02	0.33
96	csite_95	0.0067	9.34983e-01	0.30
97	csite_96	6.0937	1.35663e-02	0.30
98	csite_97	0.0334	8.54884e-01	0.50
99	csite_98	0.0001	9.91364e-01	0.42
100	csite_99	0.0005	9.81647e-01	0.59
101	csite_100	0.0000	1.00000e+00	0.52
102	csite_101	1.5535	2.12624e-01	0.48
103	csite_102	0.5704	4.50105e-01	0.33
104	csite_103	9.3155	2.27219e-03	0.30
105	csite_104	2.9008	8.85375e-02	0.36
106	csite_105	0.8515	3.56121e-01	0.33
107	csite_106	0.0231	8.79301e-01	0.41
108	csite_107	0.5935	4.41073e-01	0.61
109	csite_108	4.0320	4.46457e-02	0.37
110	csite_109	0.4531	5.00874e-01	0.29
111	csite_110	0.2856	5.93059e-01	0.27
112	csite_111	0.4399	5.07160e-01	0.27
113	csite_112	30.3648	3.57964e-08	0.69
114	csite_113	6.1023	1.35006e-02	0.35
115	csite_114	0.3700	5.42987e-01	0.24
116	csite_115	0.0168	8.96988e-01	0.33
117	csite_116	0.0000	9.98930e-01	0.32
118	csite_117	0.0248	8.74837e-01	0.55
119	csite_118	0.2726	6.01584e-01	0.38
120	csite_119	0.4358	5.09163e-01	0.28
121	csite_120	0.2759	5.99405e-01	0.27
122	csite_121	2.8005	9.42365e-02	0.27
123	csite_122	1.1403	2.85594e-01	0.36
124	csite_123	4.1606	4.13748e-02	0.29
125	csite_124	0.0045	9.46234e-01	0.41
126	csite_125	0.3665	5.44921e-01	0.60
127	csite_126	17.6019	2.72321e-05	0.40
128	csite_127	7.6049	5.82106e-03	0.48
129	csite_128	0.0016	9.67955e-01	0.41
130	csite_129	0.8828	3.47440e-01	0.53
131	csite_130	0.2863	5.92584e-01	0.24
132	csite_131	1.2896	2.56129e-01	0.27
133	csite_132	7.5159	6.11576e-03	0.29
134	csite_133	6.6321	1.00158e-02	0.27
135	csite_134	0.7604	3.83199e-01	0.30
136	csite_135	12.0178	5.26935e-04	0.44
137	csite_136	0.5423	4.61497e-01	0.57
138	csite_137	16.0089	6.30442e-05	0.40
139	csite_138	1.6591	1.97731e-01	0.31
140	csite_139	2.8302	9.25080e-02	0.50
141	csite_140	0.1032	7.48027e-01	0.34
142	csite_141	2.2706	1.31848e-01	0.30
143	csite_142	5.7542	1.64492e-02	0.36
144	csite_143	3.4367	6.37629e-02	0.36
145	csite_144	0.6690	4.13390e-01	0.72
146	csite_145	0.0343	8.53016e-01	0.44
147	csite_146	12.8298	3.41147e-04	0.38
148	csite_147	0.0003	9.86050e-01	0.66
149	csite_148	1.3241	2.49859e-01	0.39
150	csite_149	0.7219	3.95517e-01	0.26
151	csite_150	0.1014	7.50212e-01	0.38
152	csite_151	6.7900	9.16708e-03	0.29
153	csite_152	3.0655	7.99681e-02	0.40
154	csite_153	3.6746	5.52469e-02	0.50
155	csite_154	0.1725	6.77883e-01	0.37
156	csite_155	3.1864	7.42518e-02	0.27
157	csite_156	0.0000	9.94675e-01	0.44
158	csite_157	2.1749	1.40276e-01	0.69
159	csite_158	1.4687	2.25556e-01	0.31
160	csite_159	0.9673	3.25345e-01	0.47
161	csite_160	14.4272	1.45681e-04	0.37
162	csite_161	0.0190	8.90352e-01	0.49
163	csite_162	3.8433	4.99453e-02	0.40
164	csite_163	4.2522	3.92003e-02	0.31
165	csite_164	1.8914	1.69048e-01	0.28
166	csite_165	0.0860	7.69273e-01	0.23
167	csite_166	1.9280	1.64977e-01	0.28
168	csite_167	7.8034	5.21476e-03	0.31
169	csite_168	0.8608	3.53518e-01	0.38
170	csite_169	0.1729	6.77565e-01	0.29
171	csite_170	0.0044	9.47179e-01	0.41
172	csite_171	1.5639	2.11091e-01	0.27
173	csite_172	0.0104	9.18638e-01	0.29
174	csite_173	0.8004	3.70959e-01	0.35
175	csite_174	4.1786	4.09385e-02	0.32
176	csite_175	6.1750	1.29565e-02	0.31
177	csite_176	6.6125	1.01265e-02	0.23
178	csite_177	0.3786	5.38360e-01	0.41
179	csite_178	1.8071	1.78854e-01	0.28
180	csite_179	0.1964	6.57625e-01	0.35
181	csite_180	20.0564	7.51910e-06	0.25
182	csite_181	21.4411	3.64865e-06	0.35
183	csite_182	3.0845	7.90400e-02	0.34
184	csite_183	4.7899	2.86264e-02	0.50
185	csite_184	0.9053	3.41370e-01	0.35
186	csite_185	0.2529	6.15018e-01	0.51
187	csite_186	0.6053	4.36558e-01	0.28
188	csite_187	7.1925	7.32073e-03	0.36
189	csite_188	0.2230	6.36743e-01	0.35
190	csite_189	0.6254	4.29036e-01	0.34
191	csite_190	8.4472	3.65609e-03	0.28
192	csite_191	0.0022	9.62380e-01	0.41
193	csite_192	0.5297	4.66735e-01	0.48
194	csite_193	0.1212	7.27737e-01	0.33
195	csite_194	0.8181	3.65750e-01	0.23
196	csite_195	2.4462	1.17808e-01	0.43
197	csite_196	3.4192	6.44437e-02	0.33
198	csite_197	1.3812	2.39892e-01	0.30
199	csite_198	2.2141	1.36758e-01	0.30
200	csite_199	1.8438	1.74505e-01	0.32
201	csite_200	0.0009	9.76245e-01	0.27
202	csite_201	1.1882	2.75688e-01	0.34
203	csite_202	15.3903	8.74358e-05	0.33
204	csite_203	4.4938	3.40186e-02	0.24
205	csite_204	0.0187	8.91327e-01	0.46
206	csite_205	0.5411	4.61997e-01	0.27
207	csite_206	2.4539	1.17232e-01	0.44
208	csite_207	0.0000	9.99975e-01	0.30
209	csite_208	5.7139	1.68314e-02	0.51
210	csite_209	7.6016	5.83169e-03	0.41
211	csite_210	15.1571	9.89249e-05	0.29
212	csite_211	0.0004	9.83408e-01	0.41
213	csite_212	0.5869	4.43623e-01	0.38
214	csite_213	2.4947	1.14232e-01	0.35
215	csite_214	13.0468	3.03811e-04	0.55
216	csite_215	0.0977	7.54596e-01	0.48
217	csite_216	10.3829	1.27188e-03	0.40
218	csite_217	1.0739	3.00057e-01	0.47
219	csite_218	0.0011	9.73944e-01	0.44
220	csite_219	26.5113	2.62005e-07	0.58
221	csite_220	9.6347	1.90937e-03	0.33
222	csite_221	1.3077	2.52820e-01	0.37
223	csite_222	0.0036	9.51995e-01	0.66
224	csite_223	1.4150	2.34223e-01	0.28
225	csite_224	0.6628	4.15558e-01	0.29
226	csite_225	0.0000	9.99990e-01	0.44
227	csite_226	2.4940	1.14279e-01	0.34
228	csite_227	1.9401	1.63657e-01	0.34
229	csite_228	0.7340	3.91595e-01	0.44
230	csite_229	0.4325	5.10746e-01	0.38
231	csite_230	6.3181	1.19509e-02	0.29
232	csite_231	4.9964	2.53998e-02	0.32
233	csite_232	3.3635	6.66552e-02	0.25
234	csite_233	5.7524	1.64659e-02	0.28
235	csite_234	0.2481	6.18451e-01	0.36
236	csite_235	0.8080	3.68709e-01	0.38
237	csite_236	1.5118	2.18870e-01	0.35
238	csite_237	0.1427	7.05641e-01	0.33
239	csite_238	3.2689	7.06062e-02	0.38
240	csite_239	12.5123	4.04289e-04	0.30
241	csite_240	21.8439	2.95758e-06	0.33
242	csite_241	0.7958	3.72362e-01	0.33
243	csite_242	18.0845	2.11312e-05	0.37
244	csite_243	2.2303	1.35330e-01	0.39
245	csite_244	0.2635	6.07703e-01	0.32
246	csite_245	2.4831	1.15077e-01	0.30
247	csite_246	0.0000	9.99991e-01	0.38
248	csite_247	0.0007	9.79037e-01	0.57
249	csite_248	4.0773	4.34643e-02	0.48
250	csite_249	1.5312	2.15938e-01	0.26
251	csite_250	8.2535	4.06734e-03	0.31
252	csite_251	2.8853	8.93917e-02	0.29
253	csite_252	3.0376	8.13540e-02	0.36
254	csite_253	10.0297	1.54032e-03	0.41
255	csite_254	0.0568	8.11553e-01	0.64
256	csite_255	11.6635	6.37377e-04	0.48
257	csite_256	10.4247	1.24342e-03	0.30
258	csite_257	8.7233	3.14169e-03	0.30
259	csite_258	3.6019	5.77143e-02	0.55
260	csite_259	0.3227	5.69983e-01	0.37
261	csite_260	0.0423	8.36964e-01	0.34
262	csite_261	0.4084	5.22760e-01	0.34
263	csite_262	0.0004	9.84762e-01	0.67
264	csite_263	9.6896	1.85318e-03	0.29
265	csite_264	0.0240	8.76768e-01	0.40
266	csite_265	0.0018	9.66152e-01	0.26
267	csite_266	0.2788	5.97498e-01	0.30
268	csite_267	0.6627	4.15596e-01	0.69
269	csite_268	13.2715	2.69479e-04	0.37
270	csite_269	0.3674	5.44444e-01	0.37
271	csite_270	2.6254	1.05165e-01	0.44
272	csite_271	0.0125	9.11132e-01	0.39
273	csite_272	5.6541	1.74142e-02	0.37
274	csite_273	1.8840	1.69876e-01	0.25
275	csite_274	1.2242	2.68532e-01	0.28
276	csite_275	1.7967	1.80107e-01	0.30
277	csite_276	13.5261	2.35273e-04	0.41
278	csite_277	3.3770	6.61121e-02	0.48
279	csite_278	0.1048	7.46156e-01	0.27
280	csite_279	1.7750	1.82763e-01	0.31
281	csite_280	0.6626	4.15630e-01	0.41
282	csite_281	0.0691	7.92715e-01	0.38
283	csite_282	7.8493	5.08403e-03	0.29
284	csite_283	9.1600	2.47356e-03	0.39
285	csite_284	0.0198	8.88056e-01	0.49
286	csite_285	4.7732	2.89057e-02	0.28
287	csite_286	0.5439	4.60832e-01	0.44
288	csite_287	0.0024	9.60839e-01	0.42
289	csite_288	1.6118	2.04240e-01	0.29
290	csite_289	1.0100	3.14899e-01	0.37
291	csite_290	4.5954	3.20578e-02	0.29
292	csite_291	0.0002	9.88574e-01	0.35
293	csite_292	4.9537	2.60350e-02	0.41
294	csite_293	0.5570	4.55484e-01	0.28
295	csite_294	4.7426	2.94253e-02	0.42
296	csite_295	1.3909	2.38255e-01	0.42
297	csite_296	6.0503	1.39042e-02	0.29
298	csite_297	2.8521	9.12549e-02	0.28
299	csite_298	2.3887	1.22216e-01	0.25
300	csite_299	4.6911	3.03187e-02	0.34
301	csite_300	4.5682	3.25713e-02	0.41
302	csite_301	0.6426	4.22771e-01	0.30
303	csite_302	0.2077	6.48580e-01	0.39
304	csite_303	21.1316	4.28806e-06	0.29
305	csite_304	0.4145	5.19674e-01	0.37
306	csite_305	5.0716	2.43208e-02	0.36
307	csite_306	0.3712	5.42366e-01	0.30
308	csite_307	21.8708	2.91641e-06	0.26
309	csite_308	5.1232	2.36085e-02	0.36
310	csite_309	0.7317	3.92332e-01	0.55
311	csite_310	1.3871	2.38893e-01	0.45
312	csite_311	4.9993	2.53574e-02	0.35
313	csite_312	0.3470	5.55792e-01	0.57
314	csite_313	0.1689	6.81134e-01	0.51
315	csite_314	0.0000	9.94626e-01	0.49
316	csite_315	0.0013	9.71522e-01	0.56
317	csite_316	5.4003	2.01339e-02	0.34
318	csite_317	0.8473	3.57318e-01	0.47
319	csite_318	2.5323	1.11536e-01	0.41
320	csite_319	0.2504	6.16794e-01	0.38
321	csite_320	7.5140	6.12203e-03	0.34
322	csite_321	0.9997	3.17390e-01	0.33
323	csite_322	6.1415	1.32046e-02	0.32
324	csite_323	0.0150	9.02551e-01	0.55
325	csite_324	5.1943	2.26616e-02	0.26
326	csite_325	0.3451	5.56923e-01	0.32
327	csite_326	0.5114	4.74518e-01	0.45
328	csite_327	0.8095	3.68271e-01	0.29
329	csite_328	1.1693	2.79544e-01	0.30
330	csite_329	0.0147	9.03387e-01	0.38
331	csite_330	0.3995	5.27348e-01	0.32
332	csite_331	5.1394	2.33885e-02	0.27
333	csite_332	1.7020	1.92024e-01	0.26
334	csite_333	19.2903	1.12276e-05	0.36
335	csite_334	0.0000	9.98453e-01	0.65
336	csite_335	2.1023	1.47078e-01	0.29
337	csite_336	0.9192	3.37690e-01	0.34
338	csite_337	2.2899	1.30216e-01	0.23
339	csite_338	0.0003	9.85078e-01	0.46
340	csite_339	1.6273	2.02080e-01	0.38
341	csite_340	0.3197	5.71789e-01	0.48
342	csite_341	0.1924	6.60929e-01	0.40
343	csite_342	1.2678	2.60188e-01	0.33
344	csite_343	9.5712	1.97654e-03	0.28
345	csite_344	1.0526	3.04917e-01	0.40
346	csite_345	22.6434	1.95031e-06	0.37
347	csite_346	0.1741	6.76483e-01	0.32
348	csite_347	6.8189	9.01970e-03	0.29
349	csite_348	0.4895	4.84156e-01	0.36
350	csite_349	0.0000	9.99291e-01	0.50
351	csite_350	1.3329	2.48284e-01	0.30
352	csite_351	0.0000	1.00000e+00	0.50
353	csite_352	0.2117	6.45425e-01	0.36
354	csite_353	5.0367	2.48150e-02	0.32
355	csite_354	2.6073	1.06376e-01	0.32
356	csite_355	0.0469	8.28558e-01	0.26
357	csite_356	7.3091	6.86055e-03	0.30
358	csite_357	0.8776	3.48862e-01	0.45
359	csite_358	0.0088	9.25074e-01	0.80
360	csite_359	0.5348	4.64580e-01	0.30
361	csite_360	1.3549	2.44422e-01	0.34
362	csite_361	0.2183	6.40340e-01	0.65
363	csite_362	0.5257	4.68418e-01	0.33
364	csite_363	0.9513	3.29377e-01	0.56
365	csite_364	1.8100	1.78503e-01	0.29
366	csite_365	1.4203	2.33360e-01	0.39
367	csite_366	11.3362	7.60127e-04	0.38
368	csite_367	0.1851	6.67040e-01	0.40
369	csite_368	1.9517	1.62408e-01	0.41
370	csite_369	4.8746	2.72543e-02	0.31
371	csite_370	11.3602	7.50364e-04	0.40
372	csite_371	0.1431	7.05222e-01	1.20
373	csite_372	7.2833	6.95989e-03	0.52
374	csite_373	0.0869	7.68212e-01	0.39
375	csite_374	0.0699	7.91469e-01	0.33
376	csite_375	4.7199	2.98156e-02	0.54
377	csite_376	15.5017	8.24302e-05	0.28
378	csite_377	0.2622	6.08624e-01	0.37
379	csite_378	0.5528	4.57175e-01	0.35
380	csite_379	14.0706	1.76076e-04	0.19
381	csite_380	0.0035	9.52661e-01	0.33
382	csite_381	1.1923	2.74858e-01	0.63
383	csite_382	0.3214	5.70773e-01	0.30
384	csite_383	0.2896	5.90491e-01	0.40
385	csite_384	8.1884	4.21602e-03	0.43
386	csite_385	12.0103	5.29083e-04	0.38
387	csite_386	0.6344	4.25729e-01	0.46
388	csite_387	0.3142	5.75140e-01	0.49
389	csite_388	0.5647	4.52382e-01	0.44
390	csite_389	4.3734	3.65044e-02	0.33
391	csite_390	0.0356	8.50424e-01	0.36
392	csite_391	3.7374	5.32057e-02	0.35
393	csite_392	9.2793	2.31757e-03	0.28
394	csite_393	4.4851	3.41921e-02	0.50
395	csite_394	0.4605	4.97380e-01	0.51
396	csite_395	0.1236	7.25149e-01	0.34
397	csite_396	3.1680	7.50951e-02	0.35
398	csite_397	0.6303	4.27250e-01	0.48
399	csite_398	1.0457	3.06504e-01	0.34
400	csite_399	0.2226	6.37062e-01	0.67
401	csite_400	0.5007	4.79172e-01	0.38
402	csite_401	1.0322	3.09650e-01	0.41
403	csite_402	1.7626	1.84307e-01	0.25
404	csite_403	2.5744	1.08607e-01	0.42
405	csite_404	0.0194	8.89162e-01	0.51
406	csite_405	0.0336	8.54642e-01	0.57
407	csite_406	1.2483	2.63875e-01	0.24
408	csite_407	0.0528	8.18177e-01	0.31
409	csite_408	2.6668	1.02463e-01	0.30
410	csite_409	5.9240	1.49359e-02	0.34
411	csite_410	0.0010	9.75093e-01	0.39
412	csite_411	0.1503	6.98247e-01	0.45
413	csite_412	0.4110	5.21453e-01	0.35
414	csite_413	1.7102	1.90965e-01	0.37
415	csite_414	0.8136	3.67053e-01	0.32
416	csite_415	0.0257	8.72683e-01	0.30
417	csite_416	0.1906	6.62455e-01	0.42
418	csite_417	7.2685	7.01747e-03	0.33
419	csite_418	18.7501	1.49014e-05	0.54
420	csite_419	3.7782	5.19260e-02	0.40
421	csite_420	0.0060	9.38361e-01	0.37
422	csite_421	0.5318	4.65831e-01	0.34
423	csite_422	3.6022	5.77019e-02	0.44
424	csite_423	0.0463	8.29600e-01	0.43
425	csite_424	1.4786	2.23996e-01	0.35
426	csite_425	5.9527	1.46949e-02	0.23
427	csite_426	2.3201	1.27714e-01	0.50
428	csite_427	0.0056	9.40550e-01	0.13
429	csite_428	0.0002	9.88073e-01	0.45
430	csite_429	15.6493	7.62411e-05	0.29
431	csite_430	0.0066	9.35259e-01	0.26
432	csite_431	6.7160	9.55514e-03	0.30
433	csite_432	9.6286	1.91572e-03	0.33
434	csite_433	0.0000	9.96551e-01	0.39
435	csite_434	0.1547	6.94048e-01	0.65
436	csite_435	3.0136	8.25689e-02	0.36
437	csite_436	21.6515	3.26960e-06	0.32
438	csite_437	1.4702	2.25308e-01	0.46
439	csite_438	15.8588	6.82491e-05	0.44
440	csite_439	2.4488	1.17614e-01	0.36
441	csite_440	5.5951	1.80105e-02	0.36
442	csite_441	6.1967	1.27991e-02	0.26
443	csite_442	1.0405	3.07703e-01	0.28
444	csite_443	0.0052	9.42246e-01	0.53
445	csite_444	1.9802	1.59365e-01	0.28
446	csite_445	27.3282	1.71687e-07	0.75
447	csite_446	11.1447	8.42736e-04	0.38
448	csite_447	11.5289	6.85219e-04	0.35
449	csite_448	0.3340	5.63337e-01	0.42
450	csite_449	4.9058	2.67664e-02	0.32
451	csite_450	0.3737	5.41012e-01	0.28
452	csite_451	7.7250	5.44603e-03	0.30
453	csite_452	4.9018	2.68283e-02	0.31
454	csite_453	4.2613	3.89902e-02	0.38
455	csite_454	1.6044	2.05279e-01	0.26
456	csite_455	0.0004	9.84138e-01	0.38
457	csite_456	6.0648	1.37903e-02	0.31
458	csite_457	9.0156	2.67680e-03	0.37
459	csite_458	2.5183	1.12535e-01	0.25
460	csite_459	0.0774	7.80845e-01	0.24
461	csite_460	7.1469	7.50945e-03	0.37
462	csite_461	3.8234	5.05409e-02	0.30
463	csite_462	10.3744	1.27773e-03	0.42
464	csite_463	0.7227	3.95244e-01	0.45
465	csite_464	6.8346	8.94092e-03	0.38
466	csite_465	3.1706	7.49764e-02	0.28
467	csite_466	0.1985	6.55905e-01	0.35
468	csite_467	9.7503	1.79295e-03	0.25
469	csite_468	7.7953	5.23831e-03	0.36
470	csite_469	1.5140	2.18535e-01	0.44
471	csite_470	2.2722	1.31712e-01	0.34
472	csite_471	5.1627	2.30774e-02	0.31
473	csite_472	0.2469	6.19254e-01	0.42
474	csite_473	8.8222	2.97589e-03	0.38
475	csite_474	1.5507	2.13033e-01	0.41
476	csite_475	2.3002	1.29357e-01	0.39
477	csite_476	0.0116	9.14353e-01	0.52
478	csite_477	0.4754	4.90501e-01	0.40
479	csite_478	0.8614	3.53349e-01	0.34
480	csite_479	5.5474	1.85082e-02	0.26
481	csite_480	2.7729	9.58729e-02	0.53
482	csite_481	1.3271	2.49317e-01	0.41
483	csite_482	1.3475	2.45716e-01	0.41
484	csite_483	3.8396	5.00553e-02	0.24
485	csite_484	0.3351	5.62683e-01	0.52
486	csite_485	2.4440	1.17977e-01	0.38
487	csite_486	1.5012	2.20481e-01	0.46
488	csite_487	0.3459	5.56471e-01	0.40
489	csite_488	0.0006	9.80081e-01	0.41
490	csite_489	0.9310	3.34598e-01	0.41
491	csite_490	0.1702	6.79928e-01	0.32
492	csite_491	0.2262	6.34355e-01	0.35
493	csite_492	2.4549	1.17156e-01	0.37
494	csite_493	0.1137	7.35918e-01	0.27
495	csite_494	0.8355	3.60698e-01	0.31
496	csite_495	5.4853	1.91767e-02	0.27
497	csite_496	0.5775	4.47288e-01	0.48
498	csite_497	0.4193	5.17309e-01	0.50
499	csite_498	13.1798	2.82978e-04	0.41
500	csite_499	0.3441	5.57486e-01	0.33
501	site_500	0.7126	3.98595e-01	0.34
502	site_501	0.4505	5.02095e-01	0.37
503	site_502	0.5228	4.69629e-01	0.50
504	site_503	0.9558	3.28242e-01	0.34
505	site_504	4.3197	3.76726e-02	0.40
506	site_505	0.3600	5.48492e-01	0.61
507	site_506	0.1163	7.33085e-01	0.43
508	site_507	0.6517	4.19495e-01	0.35
509	site_508	0.0000	9.99959e-01	0.73
510	site_509	1.6732	1.95828e-01	0.37
511	site_510	4.3146	3.77867e-02	0.33
512	site_511	5.4529	1.95354e-02	0.33
513	site_512	0.3517	5.53133e-01	0.28
514	site_513	0.0859	7.69452e-01	0.41
515	site_514	0.0023	9.61989e-01	0.60
516	site_515	0.0019	9.65325e-01	0.55
517	site_516	0.0001	9.92697e-01	0.36
518	site_517	5.2151	2.23911e-02	0.38
519	site_518	0.8743	3.49768e-01	0.28
520	site_519	1.4645	2.26217e-01	0.33
521	site_520	0.2843	5.93922e-01	0.39
522	site_521	0.0221	8.81831e-01	0.35
523	site_522	0.9363	3.33236e-01	0.55
524	site_523	3.8044	5.11194e-02	0.28
525	site_524	4.2553	3.91275e-02	0.30
526	site_525	0.7344	3.91446e-01	0.72
527	site_526	0.4256	5.14150e-01	0.41
528	site_527	8.0642	4.51492e-03	0.24
529	site_528	0.5326	4.65504e-01	0.45
530	site_529	0.0101	9.20108e-01	0.41
531	site_530	3.7918	5.15036e-02	0.60
532	site_531	1.4340	2.31109e-01	0.35
533	site_532	3.6420	5.63376e-02	0.31
534	site_533	0.0198	8.87974e-01	0.48
535	site_534	2.4816	1.15182e-01	0.42
536	site_535	7.8078	5.20218e-03	0.50
537	site_536	0.0426	8.36479e-01	0.36
538	site_537	0.0030	9.56653e-01	0.69
539	site_538	1.4320	2.31441e-01	0.46
540	site_539	0.6107	4.34509e-01	0.32
541	site_540	0.9579	3.27722e-01	0.36
542	site_541	0.8517	3.56061e-01	0.62
543	site_542	5.3105	2.11971e-02	0.19
544	site_543	0.2832	5.94620e-01	0.27
545	site_544	1.0871	2.97115e-01	0.54
546	site_545	0.0000	1.00000e+00	0.57
547	site_546	0.0044	9.47247e-01	0.52
548	site_547	1.8463	1.74219e-01	0.35
549	site_548	0.6195	4.31222e-01	0.62
550	site_549	0.0595	8.07246e-01	0.32
551	site_550	0.4290	5.12469e-01	0.41
552	site_551	1.7439	1.86641e-01	0.31
553	site_552	1.2317	2.67068e-01	0.38
554	site_553	0.2553	6.13382e-01	0.42
555	site_554	0.1646	6.84981e-01	0.51
556	site_555	0.0584	8.09028e-01	0.54
557	site_556	0.3212	5.70874e-01	0.35
558	site_557	1.1324	2.87257e-01	0.36
559	site_558	0.8337	3.61209e-01	0.39
560	site_559	1.4982	2.20949e-01	0.43
561	site_560	0.0140	9.05903e-01	0.79
562	site_561	0.7388	3.90046e-01	0.36
563	site_562	1.8053	1.79069e-01	0.33
564	site_563	0.0000	9.97239e-01	0.31
565	site_564	0.9296	3.34963e-01	0.36
566	site_565	4.3682	3.66152e-02	0.44
567	site_566	1.0247	3.11401e-01	0.36
568	site_567	0.4902	4.83857e-01	0.39
569	site_568	0.1950	6.58822e-01	0.33
570	site_569	0.1536	6.95116e-01	0.40
571	site_570	4.6958	3.02371e-02	0.31
572	site_571	0.2674	6.05089e-01	0.31
573	site_572	0.2852	5.93305e-01	0.52
574	site_573	3.3485	6.72676e-02	0.35
575	site_574	0.2422	6.22596e-01	0.29
576	site_575	0.7872	3.74938e-01	0.31
577	site_576	4.9239	2.64872e-02	0.29
578	site_577	2.6899	1.00986e-01	0.28
579	site_578	1.8702	1.71449e-01	0.34
580	site_579	7.9692	4.75793e-03	0.37
581	site_580	0.1543	6.94504e-01	0.34
582	site_581	0.0170	8.96119e-01	0.33
583	site_582	11.9964	5.33042e-04	0.48
584	site_583	0.3920	5.31236e-01	0.27
585	site_584	0.4188	5.17526e-01	0.47
